epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.30974,1.10225,4.61264,1.25406,0.00114,0.1,0.00085,0.00062,0.92186,3.96089,1.05937,8.335e-05,8.335e-05,8.335e-05
2,8.89233,0.69904,3.88987,0.93791,0.00635,0.5,0.00946,0.00883,0.43356,3.57374,0.76683,0.000174293,0.000174293,0.000174293
3,9.84551,0.59927,1.64606,0.84208,0.00704,0.5,0.0091,0.00789,0.55428,3.27233,0.78732,0.000255334,0.000255334,0.000255334
4,10.7332,0.63462,1.1979,0.84433,0.00642,0.5,0.10387,0.09357,0.52111,3.32008,0.77608,0.000326474,0.000326474,0.000326474
5,11.6298,0.60372,1.28257,0.84283,0.00575,0.5,0.1034,0.06812,0.58782,3.25736,0.80498,0.000387711,0.000387711,0.000387711
6,12.4995,0.58924,0.9906,0.84477,0.00529,0.5,0.35302,0.21321,0.60505,3.15682,0.83702,0.000439046,0.000439046,0.000439046
7,13.3718,0.49595,0.95093,0.82443,0.00566,0.5,0.1542,0.1371,0.56665,3.14334,0.81507,0.000480479,0.000480479,0.000480479
8,14.2254,0.52481,0.95992,0.83432,0.00509,0.5,0.45399,0.40833,0.52163,3.03619,0.7866,0.000512011,0.000512011,0.000512011
9,15.0819,0.49805,0.89924,0.83796,0.00388,0.5,0.4975,0.44359,0.53461,2.72283,0.80542,0.00053364,0.00053364,0.00053364
10,16.0734,0.4922,0.8006,0.82831,1,0.13444,0.4975,0.44973,0.53851,2.63773,0.82285,0.000545367,0.000545367,0.000545367
11,21.9179,0.42452,1.06497,0.79527,1,0.4955,0.4975,0.46205,0.51238,2.61266,0.81996,0.000547193,0.000547193,0.000547193
12,22.763,0.43467,1.07031,0.79188,1,0.47767,0.4975,0.46018,0.47713,2.35754,0.81678,0.000539116,0.000539116,0.000539116
13,23.5923,0.43605,1.0677,0.81549,1,0.35982,0.4975,0.46255,0.50526,2.23372,0.82558,0.000521138,0.000521138,0.000521138
14,24.4252,0.42735,1.00879,0.79842,1,0.47012,0.49769,0.46187,0.4904,2.05126,0.82072,0.000493257,0.000493257,0.000493257
15,25.2144,0.45779,0.99887,0.8056,1,0.49639,0.498,0.45044,0.49931,1.86593,0.82102,0.000455474,0.000455474,0.000455474
16,26.0248,0.40324,0.93139,0.77808,0.99389,0.5,0.57026,0.48991,0.49995,1.47041,0.822,0.00040779,0.00040779,0.00040779
17,26.8217,0.42716,0.91278,0.81993,0.99457,0.5,0.59526,0.49883,0.4868,1.35574,0.81811,0.000346736,0.000346736,0.000346736
18,27.6396,0.39016,0.90305,0.79936,0.96821,0.5,0.59528,0.51692,0.47197,1.25454,0.81582,0.00026422,0.00026422,0.00026422
19,28.4695,0.39454,0.86425,0.81363,0.96515,0.5,0.59528,0.52893,0.44518,1.16107,0.81681,0.000181703,0.000181703,0.000181703
20,29.3114,0.36316,0.87082,0.79532,0.96037,0.5,0.59529,0.53847,0.4026,0.96657,0.81582,9.91865e-05,9.91865e-05,9.91865e-05
